hour,battery,curtailment,demand
5304,0.0,0.0,2845.56713
5305,0.0,0.0,2845.56713
5306,0.0,0.0,2845.56713
5307,0.0,0.0,2845.56713
5308,0.0,0.0,2845.56713
5309,0.0,0.0,2845.56713
5310,0.0,0.0,2845.56713
5311,0.0,0.0,2845.56713
5312,0.0,310.9516037359822,2845.56713
5313,0.0,2043.1874942008503,2845.56713
5314,0.0,3640.6939265184515,2845.56713
5315,0.0,4814.76491894464,2845.56713
5316,1447.6011735167885,3829.093316218483,2845.56713
5317,4795.51785349503,0.0,2845.56713
5318,4622.294264448543,0.0,2845.56713
5319,3390.4820756735257,0.0,2845.56713
5320,2062.4345596504604,0.0,2845.56713
5321,830.6223708754428,0.0,2845.56713
5322,0.0,0.0,2845.56713
5323,0.0,0.0,2845.56713
5324,0.0,0.0,2845.56713
5325,0.0,0.0,2845.56713
5326,0.0,0.0,2845.56713
5327,0.0,0.0,2845.56713
5328,0.0,0.0,2845.56713
5329,0.0,0.0,2845.56713
5330,0.0,0.0,2845.56713
5331,0.0,0.0,2845.56713
5332,0.0,0.0,2845.56713
5333,0.0,0.0,2845.56713
5334,0.0,0.0,2845.56713
5335,0.0,0.0,2845.56713
5336,0.0,0.0,2845.56713
5337,522.6693236816882,0.0,2845.56713
5338,1331.0460725652933,0.0,2845.56713
5339,1215.5636798676355,0.0,2845.56713
5340,99.2338837902762,0.0,2845.56713
5341,0.0,0.0,2845.56713
5342,0.0,0.0,2845.56713
5343,0.0,0.0,2845.56713
5344,0.0,0.0,2845.56713
5345,0.0,0.0,2845.56713
5346,0.0,0.0,2845.56713
5347,0.0,0.0,2845.56713
5348,0.0,0.0,2845.56713
5349,0.0,0.0,2845.56713
5350,0.0,0.0,2845.56713
5351,0.0,0.0,2845.56713
5352,0.0,0.0,2845.56713
5353,0.0,0.0,2845.56713
